assessment_id,experiment,metric,n,mean,sd,median,q1,q3,iqr,min,max
assessment_1,A,human_observation_recall,3,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.5,0.8333333333333333,0.33333333333333326,0.3333333333333333,1.0
assessment_1,A,weighted_human_feedback_coverage,3,0.4166666666666667,0.22047927592204924,0.5,0.3333333333333333,0.5416666666666667,0.20833333333333343,0.16666666666666666,0.5833333333333334
assessment_1,A,human_agreement_precision,3,0.4305555555555556,0.25028918459639027,0.4166666666666667,0.30208333333333337,0.5520833333333334,0.25,0.1875,0.6875
assessment_1,A,human_agreement_f1,3,0.49262270400481784,0.28171732627252266,0.3703703703703704,0.3315266485998194,0.5925925925925926,0.26106594399277316,0.29268292682926833,0.8148148148148148
assessment_1,A,corrective_observation_recall,3,0.7777777777777777,0.3849001794597505,1.0,0.6666666666666666,1.0,0.33333333333333337,0.3333333333333333,1.0
assessment_1,A,strength_observation_recall,3,0.4444444444444444,0.5091750772173156,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5,0.0,1.0
assessment_1,A,human_targeted_requirement_recall,3,0.6374859708193041,0.2706688192930238,0.7272727272727273,0.5303030303030303,0.7895622895622896,0.2592592592592593,0.3333333333333333,0.8518518518518519
assessment_1,A,corrective_requirement_recall,3,0.6680469289164942,0.3141567542395019,0.7142857142857143,0.5238095238095238,0.8354037267080745,0.31159420289855067,0.3333333333333333,0.9565217391304348
assessment_1,A,strength_requirement_recall,2,0.5,0.3535533905932738,0.5,0.375,0.625,0.25,0.25,0.75
assessment_1,A,full_rubric_coverage,3,0.3846153846153846,0.24552202566930198,0.4423076923076923,0.27884615384615385,0.5192307692307692,0.2403846153846153,0.11538461538461539,0.5961538461538461
assessment_1,A,average_summary_similarity,3,0.4549973027573692,0.10431800219845579,0.5028886546691259,0.41911081721385324,0.5148294642567635,0.09571864704291022,0.3353329797585805,0.526770273844401
assessment_1,A,grounded_feedback_rate,3,0.18461538461538463,0.20176733920929232,0.15384615384615385,0.07692307692307693,0.27692307692307694,0.2,0.0,0.4
assessment_1,A,not_assessable_observation_rate,3,0.35311355311355314,0.10691202710673692,0.4,0.3153846153846154,0.41428571428571426,0.09890109890109888,0.23076923076923078,0.42857142857142855
assessment_1,B,human_observation_recall,3,0.8888888888888888,0.1924500897298753,1.0,0.8333333333333333,1.0,0.16666666666666674,0.6666666666666666,1.0
assessment_1,B,weighted_human_feedback_coverage,3,0.47222222222222227,0.12729376930432892,0.5,0.41666666666666663,0.5416666666666667,0.1250000000000001,0.3333333333333333,0.5833333333333334
assessment_1,B,human_agreement_precision,3,0.3717948717948718,0.23103617039666793,0.38461538461538464,0.25961538461538464,0.4903846153846154,0.23076923076923078,0.1346153846153846,0.5961538461538461
assessment_1,B,human_agreement_f1,3,0.47409510517141934,0.20838172525836776,0.5555555555555556,0.396421845574388,0.5924985899605189,0.19607674438613087,0.23728813559322035,0.6294416243654822
assessment_1,B,corrective_observation_recall,3,0.8888888888888888,0.1924500897298753,1.0,0.8333333333333333,1.0,0.16666666666666674,0.6666666666666666,1.0
assessment_1,B,strength_observation_recall,3,0.8888888888888888,0.1924500897298753,1.0,0.8333333333333333,1.0,0.16666666666666674,0.6666666666666666,1.0
assessment_1,B,human_targeted_requirement_recall,3,0.7429854096520763,0.15915399078343456,0.6666666666666666,0.6515151515151515,0.7962962962962963,0.1447811447811448,0.6363636363636364,0.9259259259259259
assessment_1,B,corrective_requirement_recall,3,0.7315389924085576,0.20057542456152347,0.6666666666666666,0.6190476190476191,0.8115942028985508,0.1925465838509317,0.5714285714285714,0.9565217391304348
assessment_1,B,strength_requirement_recall,2,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75
assessment_1,B,full_rubric_coverage,3,0.3717948717948718,0.23103617039666793,0.38461538461538464,0.25961538461538464,0.4903846153846154,0.23076923076923078,0.1346153846153846,0.5961538461538461
assessment_1,B,average_summary_similarity,3,0.40363676846027374,0.05614315611885599,0.3806282679239909,0.3716405456264814,0.4241287410259247,0.05248819539944327,0.36265282332897186,0.46762921412785846
assessment_1,B,grounded_feedback_rate,3,0.6436507936507937,0.22887298229738515,0.75,0.5654761904761905,0.775,0.20952380952380956,0.38095238095238093,0.8
assessment_1,B,not_assessable_observation_rate,3,0.7828373015873016,0.1884848317326168,0.84375,0.7075892857142857,0.8885416666666667,0.18095238095238098,0.5714285714285714,0.9333333333333333
assessment_1,C,human_observation_recall,3,0.7222222222222222,0.09622504486493767,0.6666666666666666,0.6666666666666666,0.75,0.08333333333333337,0.6666666666666666,0.8333333333333334
assessment_1,C,weighted_human_feedback_coverage,3,0.47222222222222227,0.0481125224324688,0.5,0.45833333333333337,0.5,0.04166666666666663,0.4166666666666667,0.5
assessment_1,C,human_agreement_precision,3,0.3525641025641026,0.19358549834027564,0.3269230769230769,0.25,0.4423076923076923,0.1923076923076923,0.17307692307692307,0.5576923076923077
assessment_1,C,human_agreement_f1,3,0.450584087635263,0.167075082327728,0.4696132596685083,0.3722112099869259,0.5384715513002227,0.1662603413132968,0.2748091603053435,0.6073298429319371
assessment_1,C,corrective_observation_recall,3,0.7222222222222222,0.2545875386086578,0.6666666666666666,0.5833333333333333,0.8333333333333333,0.25,0.5,1.0
assessment_1,C,strength_observation_recall,3,0.7777777777777777,0.1924500897298753,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.16666666666666663,0.6666666666666666,1.0
assessment_1,C,human_targeted_requirement_recall,3,0.5499438832772165,0.3132278431519118,0.4074074074074074,0.37037037037037035,0.6582491582491582,0.28787878787878785,0.3333333333333333,0.9090909090909091
assessment_1,C,corrective_requirement_recall,3,0.5748792270531401,0.3693046348524907,0.391304347826087,0.36231884057971014,0.6956521739130435,0.3333333333333333,0.3333333333333333,1.0
assessment_1,C,strength_requirement_recall,2,0.625,0.1767766952966369,0.625,0.5625,0.6875,0.125,0.5,0.75
assessment_1,C,full_rubric_coverage,3,0.3574763238628785,0.18649791673542898,0.3469387755102041,0.2617046818727491,0.44797919167667066,0.18627450980392157,0.17647058823529413,0.5490196078431373
assessment_1,C,average_summary_similarity,3,0.5083519981967078,0.04036333017044198,0.5019422173500061,0.4867596526940664,0.5267394532759984,0.03997980058193196,0.47157708803812665,0.5515366892019907
assessment_1,C,grounded_feedback_rate,3,0.9732004429678849,0.028735781125066563,0.9767441860465116,0.9598006644518272,0.9883720930232558,0.02857142857142858,0.9428571428571428,1.0
